1: Homo_sapiens
210: Aeromicrobium_marinum
211: Aeromicrobium_massiliense
212: Aeromonas_eucrenophila
213: Aeromonas_fluvialis
214: Aeromonas_hydrophila
215: Aeromonas_molluscorum
216: Aeromonas_salmonicida
217: Aeromonas_schubertii
218: Aeromonas_simiae
219: Aestuariibacter_aggregatus
220: Aestuariibacter_salexigens
221: Aestuariimicrobium_kwangyangense
222: Aestuariivita_atlantica
223: Aestuariivita_boseongensis
224: Afifella_marina
225: Afifella_pfennigii
226: Afipia_birgiae
227: Afipia_broomeae
228: Afipia_clevelandensis
229: Afipia_felis
230: Agarivorans_albus
231: Agarivorans_gilvus
232: Agathobaculum_desmolans
233: Aggregatibacter_actinomycetemcomitans
234: Agreia_bicolorata
235: Agrobacterium_albertimagni
236: Agrobacterium_fabrum
237: Agrobacterium_rhizogenes
238: Agrobacterium_vitis
239: Agrococcus_baldri
240: Agrococcus_carbonis
241: Agrococcus_casei
242: Agrococcus_jejuensis
243: Agrococcus_lahaulensis
244: Agromyces_aureus
245: Agromyces_cerinus
246: Agromyces_flavus
247: Agromyces_italicus
248: Agromyces_subbeticus
249: Ahrensia_kielensis
250: Aidingimonas_halophila
251: Akkermansia_glycaniphila
252: Akkermansia_muciniphila
253: Albidovulum_xiamenense
254: Albimonas_donghaensis
255: Albimonas_pacifica
256: Alcaligenes_faecalis
257: Alcanivorax_borkumensis
258: Alcanivorax_dieselolei
259: Alcanivorax_hongdengensis
260: Alcanivorax_jadensis
261: Alcanivorax_nanhaiticus
262: Alcanivorax_pacificus
263: Algibacter_alginicilyticus
264: Algibacter_aquaticus
265: Algibacter_lectus
266: Algibacter_pectinivorans
267: Algicola_sagamiensis
268: Algiphilus_aromaticivorans
269: Algoriella_xinjiangensis
270: Algoriphagus_alkaliphilus
271: Algoriphagus_antarcticus
272: Algoriphagus_aquimarinus
273: Algoriphagus_faecimaris
274: Algoriphagus_halophilus
275: Algoriphagus_hitonicola
276: Algoriphagus_machipongonensis
277: Algoriphagus_mannitolivorans
278: Algoriphagus_marincola
279: Algoriphagus_marinus
280: Algoriphagus_ornithinivorans
281: Algoriphagus_ratkowskyi
282: Algoriphagus_resistens
283: Algoriphagus_terrigena
284: Algoriphagus_vanfongensis
285: Algoriphagus_zhangzhouensis
286: Aliagarivorans_marinus
287: Alicycliphilus_denitrificans
288: Alicyclobacillus_acidiphilus
289: Alicyclobacillus_acidocaldarius
290: Alicyclobacillus_acidoterrestris
291: Alicyclobacillus_contaminans
292: Alicyclobacillus_ferrooxydans
293: Alicyclobacillus_herbarius
294: Alicyclobacillus_hesperidum
295: Alicyclobacillus_kakegawensis
296: Alicyclobacillus_macrosporangiidus
297: Alicyclobacillus_mali
298: Alicyclobacillus_pomorum
299: Alicyclobacillus_vulcanalis
300: Aliicoccus_persicus
301: Aliifodinibius_roseus
302: Aliiglaciecola_lipolytica
